,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,stage_time,event_website
77,Hollywood Improv Comedy Lab,Hollywood Improv Comedy Lab,WeHo/Beverly Hills/Fairfax,2020-03-08,21,2020-03-08,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
78,Rainbow Bar & Grill,Rainbow Bar & Grill,WeHo/Beverly Hills/Fairfax,2020-03-08,22,2020-03-08,23,False,Open Mic,$0,1 item min.,,True,True,5 min.,
79,Improv Mic,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-08,11,2020-03-16,12,False,Improvised stand-up mic,$5,No min.,,True,True,5 min.,https://slotted.co/thehollywoodcomedy
80,(3PM-4PM Hourly) 10 Mins. The Comedy Office (Unit #3 Upstairs),The Comedy Office (Unit #3 Upstairs),WeHo/Fairfax/Beverly Hills,2020-03-07,15,2020-03-13,16,False,Open Mic,$5,No min.,,True,True,10 min.,https://slotted.co/m4l
81,(3PM-12AM Hourly) 10 Mins. The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-09,15,2020-03-13,23,False,Open Mic,$8,No min.,,True,True,10 min.,https://slotted.co/thehollywoodcomedy
82,(4PM-10PM Hourly) 10 Min Spots Bert's Back Room Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-09,16,2020-03-13,22,False,Open Mic,$8,No min.,,True,True,10 min.,https://slotted.co/bertsbackroom
83,The Clubhouse,The Clubhouse,Los Feliz/Silverlake/Echo Park,2020-03-09,16,2020-03-09,18,False,Open Mic,$0,No min.,"Free mics
",True,True,4 min.,
84,Brix,"Brix
",Orange County,2020-03-09,18,2020-03-09,21,False,Open Mic,$0,No min.,"Free mics
",True,True,4 min.,
85,Zed's Rooftop,Zed's Rooftop (Apt. #308),Culver City,2020-03-09,19,2020-03-09,20,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/rooftopmic
86,1881,1881,Pasadena,2020-03-09,19,2020-03-09,22,False,Open Mic,,1 drink min.,,True,True,3 min.,
87,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-07,19,2020-03-13,21,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/comedygrabbag
88,Tribal Cafe,Tribal Cafe,Los Feliz/Silverlake/Echo Park,2020-03-09,19,2020-03-12,22,False,Open Mic,$5,No min.,,True,True,5 min.,
89,Leg Day (House in Silverlake),Leg Day (Apt. in Silverlake),Los Feliz/Silverlake/Echo Park,2020-03-09,19,2020-03-09,21,False,Open Mic,$3,No min.,,True,True,4 min.,https://slotted.co/legday
90,Oeno Vino,Oeno Vino,Los Feliz/Silverlake/Echo Park,2020-03-09,19,2020-03-09,21,False,Open Mic,,1 item min.,,True,True,4 min.,
91,Rasselbock,Rasselbock,Westside/Santa Monica,2020-03-09,20,2020-03-09,22,False,Open Mic,,1 item min.,,True,True,5 min.,https://slotted.co/mair
92,Genghis Cohen,Genghis Cohen,WeHo/Fairfax/Beverly Hills,2020-03-09,20,2020-03-09,22,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
